,CIVIL,TARs
0,20170118,"V* V1309 Tau, HD  26736, V* V1023 Tau, V* BW Ari, * k Tau, HD  19600"
1,20141122,"SU Aur, HD  23258, DH Tau A, V* RY Tau, *  30 Mon, IC 2087, BD+02  1729, *   7 Tri, V* GU Psc, HD 180617, V* DH Tau B, V* GX And, IW Tau A, V* GQ And, HD  76151, HD  25175, V* CI Tau, V* DS Tau, G 172-56, IRAS F04278+2253, HD   7215"
2,20180927,"KOI-6893, HD  31069, [DCO2008] T-Lyr1-17236, V* DK Tau, HD 184787, V* GI Tau, EM* LkCa   15, V* IQ Tau, V* V827 Tau, L 1551-51, EM* LkHA  371, KOI-1120, KOI-7044, V* V1023 Tau, V* FL Lyr, V* AA Tau, V* HL Tau, V* CI Tau, V* V830 Tau, [DCO2008] T-Cyg1-00246, Haro 6-28"
3,20210529,"HD 147009, 2MASS J16224539-2431237, HD 124683, HD 123949, [PBB2002] USco J160900.0-190836, LS  IV -15    3, HD 159008, HD 147384, [GY92]  93"
4,20201114,"SHV 0519086-700358, HD  29082, WOH G 102, HE 0414-0343, HD  40624, HD  52493, HD 202941, 2MASS J21331723-0048171, HD 210419, 2MASS J21140802-2251358"
5,20160721,"HD 192538, HD 145188, K2-33, *   5 Vul, MSX6C G076.3829-00.6210"
6,20201116,"HD  32858, HD  23144, [MCO2008] NGC1978-21, 2MASS J05365244-6910167, UCAC3 210-20333, TYC 4686-777-1, 2MASS J22113711-0236395, HD 210419, HD  18271, 2MASS J02282694+0218331"
7,20161001,"pallas 05UT, HD 172404, BD-07  5988, massalia 05UT, triton 06UT, pluto 04UT"
8,20190422,"V* V866 Sco A, KOI-7044, HD 191082, HD 192538, HD 144925"
9,20180421,"DENIS J082303.1-491201, GSC 06806-00016, HD 159312, V* EO Cha, HIP 96085, HD 155177, DENIS J161630.6-251220, HD 172882, HD 145127, HD  95534, HD 155379, V* V934 Her, NAME Luhman 16, 2MASS J16180868-2547126, [GY92] 264, X Sct X-1, * m Hya A, 2MASS J19501998-4327025, HD  98022, SWIFT J1743.1-3620, gamma-, HD 133803, HD 131625, V* BS Ind, CD-27 11535, V* V2116 Oph, HD 139084, HD  71722"
10,20160424,"2MASS J1622442-2450488, BD+20 1790, G  51-15, HD 101369, HD 155379, HD  79752, *  85 Gem, SIPS J1058-1548, HD 145127"
11,20141224,"IRAS 04154+2823, IRAS 06297+1021, 2MASS J04295950+2433078, 2MASS J04390163+2336029, V* V1070 Tau, *  24 Tau, HD  45380, HD  43583, 2MASS J06593158-0405277, * k Tau, BD+21   577, V* Z CMa, IRAS 04200+2759"
12,20160504,"HD 146606, HD 152071, EPIC 203868608"
13,20151117,"HD  75555, HD  50931, V* RY Tau, HD 219833, V* DG Tau, * sig Gem, EM* LkHA  330, HD  31648, *  30 Psc, V* CQ Tau, HD  71906, V* FS Tau, V* AB Aur, HD  25175, [CG2010] IRAS 03260+3111(E), * rho01 Cnc, HD 218639, EM* LkCa    4, *   3 Cet, *  33 Psc, * mu. Psc, NAME IC 2087 IR, HD  37171, * k Tau, * psi02 Aqr"
14,20161109,"HR  3348, GSC 03798-01207, 85 Gem, [MGM2012] 250, HR  2584, [MGM2012] 350, V* YY Gem, 2MASS J08255189+2427045"
15,20180122,"BD+23   551, HD  23258, V* V1065 Tau, HD 282972, 2MASS J03470141+2329419, HD 282967, Cl Melotte   22  2366, V* V814 Tau, * k Tau, HD 282973"
16,20210306,"HD  92859, HD 125838, TIC 148544875, NAME Cha J1305-7739"
17,20180424,"HD  99627, GSC 09420-00948, TWA 45, HD 201919, BKLT J162607-242725, HD 358623, HD 180782, HD 145127, HD  95534, [GY92]  15, BKLT J162619-243726 , NAME Luhman 16, HD 309751, HD  80950, [GY92] 232, 2MASS J16255790-2600374, 2MASS J16020039-2221237, WT 692, CD-26  8623, HD  59169, CD-26  8623B, CD-42  3328, HD 104467, CD-36  7429B, CD-64  1208, PM J16076-1103, CD-45  2654, V* BS Ind, HIP 51297"
18,20170503,"PM J09256+6329, HD  71906, BD+44  2051B, G  51-15, PM J09151+2321S, Elia 2-41, *  81 UMa, HD 163336, *  85 Gem, PM J09212+6021, BD+20  1790, WLY 1-64, LP   98-79, HD  82443B, HD 145127, PM J08507+3505"
19,20160715,"K2-33, HD 124683, * d Sco"
20,20180427,"ISO-Oph 123, TWA 39, HD 155177, CD-34  7390B, HD 145127, V* CE Ant, HD  95534, HD 192510, V* V5121 Sgr, 1RXS J115928.5-524717, NAME Luhman 16, HD 309751, HD 102981, HD  59169 W, HD  59169, V* V1252 Cen, V* BS Ind, DENIS J145407.8-660447, HIP 51297, CD-34  7390A, HD 139084"
21,20210427,"2MASS J18191551-1726223, [DBG2011] 13, CD-55  4799, HD 142930, EM* SR   24A, HD 115529, 2MASS J17542346-3552458, 2MASS J18142346-2136410, HD 177120, Haro 1-16, HD 170115, 2MASS J17584888-2351011, 2MASS J18522108-3022143, [DBG2011] 14, 2MASS J18103303-1626220, 2MASS J16394544-2402039, HD 166833, HD 145127"
22,20160203,"HD  27616, * p05 Leo, G  51-15, K2-77, BD+44  2051B, *  10 Boo, *  85 Gem, HD  41076, V* YY Gem, HD  45137, HD  25175, HD  34890"
23,20181220,"HBC 684, V* FU Tau, 85 Gem, HD  31069, HR 3348, V* GI Tau, BD+02  1729, V* V410 Tau, EM* LkCa   15, V* IQ Tau, HR 1234, V* UY Aur, V* GM Tau, 2MASS J08255189+2427045, L 1551-51, V* V1098 Tau, k Tau, chi Cap, V* V1023 Tau, 2MASS J04390396+2544264, V* V1069 Tau, V* AA Tau, V* HL Tau, V* CI Tau, V* V830 Tau, NGC 2264 125, HR 2893, [SS94] V410 X-ray 3, V* V1000 Tau, HD 53205, V* YY Gem, Haro 6-28"
24,20210109,"L  678-39, HD  60130, HD  23410, HD  87363, BD+21   418B, HD  25752, V* V1005 Ori, BD+05   378, V* AF Lep, HD  21379, HD  22705, HD 100888, StKM 1-497, HD  82724, HD  29926, HD  59169, HD 32923, HD 104467, HD  35505, MCC 401, L  320-124, K2-239"
25,20161220,"HD  26257, V* V1309 Tau, HD  26736, V* V1023 Tau, HD  21379, BD+38  4818, V* BW Ari, HD  23584, * k Tau, HD  19600"
26,20171113,"2MASS J04560354+4313556, 2MASS J12521285+2908568, HD 43607, LP  661-13, 2MASS J03304890+5413551, HD 109055, 2MASS J05402570+2448090, HR 1724, V* YY Gem, Wolf  227, CRTS J092128.3+332558, 2MASS J04434430+1505565, Ross  905"
27,20170711,"HD 138813, RIK 229, HD 138295, 2MASS J16171898-2437186"
28,20151205,"HD  15485, HD  32147, HD  93427, HD 218639, 2MASS J03552337+1133437, HD  41076, 2MASS J05335457-0514155, HD 213135, *  33 LMi, V* FK Tau, HD  34317, *  18 Ori, HD  95735, V* EZ Aqr, HD  74462"
29,20190122,"V* BT Ori, IRAS 05350-0700, [HJS91]  507, IRAS 05375-0727, HD  29526, HD  31069, 2MASS J05401940-0814163, HD  25175, V* V830 Tau, HD  22401, L 1551-51"
30,20151108,"BD+02  1729, DH Tau A, V* V1283 Tau, 2MASS J05362690-0525055, V* AI Ori, HD  25152, *  18 Ori, V* DS Tau"
31,20141118,"HD  10587, AB Aur, BD+61  2594, HD 192538, EM* LkHA  330, NAME Herbig's Anon 1, *  28 Cet, * 107 Psc, * f Psc, V* V774 Cas, HD 225160, HD 190429A, IRAS 03301+3111, HD  21402, HD  24368, HD  61219, * bet Ari, HD  25152, *  48 Gem, HD 192639, DG Tau"
32,20150929,"2MASS J02490228-1029220, HD  23258, DH Tau A, V* V1283 Tau, *  18 Sco, PM J02159-0929, V* FU Tau B, HD  13936, * k Tau, K2-25, HD  19600, 2MASS J01561492+10006088, V* DS Tau"
33,20151208,"HD  50931, HD  32147, * tet Lep, CoKu Tau 4 A, V* CQ Tau, 2MASS J0125716+5059173, *  33 LMi, *  18 Ori, HD  46966, HD  95735, * c And, HD  53205"
34,20171105,gam Aqr
35,20151119,"IRAS 03445+3242, HD 208110, LSPM J0036+1821, HD   7215, HD  25175, HD 210501, * k Tau"
36,20210116,"HD 102981, * mu.02 Cru, * k Lup, HD  60130, HD 115529, HD  41076, V* PX Vir, HD  59169, HD 137119, HD 109860, HD 101523, HD 32923"
37,20210521,"HD 168206, EM* AS  320, 2MASS J17535396-3558056, 2MASS J17531018-3628254, HD    984, HD 177011, MR  88, HD 159312, HIP 83541, HD 222753, HD 165967"
38,20140924,"HD 180617, Wolf 1130, HD  25175, V* CI Tau, HD 182761"
39,20180706,"[NGM2010] S9, [NGM2010] S1, [DBG2011] 3, HD 177074, [DBG2011] 1, [NGM2010] S6, [DBG2011] 2, HD 180782, [NGM2010] S8"
40,20150428,"HD 146606, RIK 100, HD 142883, EPIC 202955563, RIK 28, RIK 12, PM J09362+3731, UScoCTIO   5, *   7 Ser, * gam Oph, PM J16336-0933, HD  89239, EPIC 203863067, RIK 210, HD 145127, HD 144925"
41,20210518,"HD 139129, CPD-52  9243, HD 166992, HD 177011"
42,20190130,"V* GI Tau, BD+02  1729, EM* LkCa   15, V* IQ Tau, 2MASS J05371729-0636181, V* V830 Tau, HD 37887, V* V827 Tau, V* V1069 Tau, V* GM Tau, V* AA Tau, HD  25152, V* CI Tau, V* DK Tau, HD  25175, HD 53205, L 1551-51, V* DM Tau"
43,20210118,"TOI-1227, HD 100888, TYC 4928-1438-1, HD 110720"
44,20201222,"HD  36329, V* AF Lep, * eta01 Dor, BD-20   951, HD  34868, HD  33999, CD-48  1893"
45,20160301,"* eps Ori, HD  33654, * sig Ori, * 136 Tau, BD+20  2465, * tet Lep, * alf Cam, * zet Ori A, G  51-15, V* HL UMa, HD  37887, HD37128, HD  89239, HD  51585, V* BU CMi, * iot Ori, HD  56126"
46,20180102,"CoKu LkHA 332 G1, IRAS 04113+2758, V* V928 Tau, V* FS Tau, V* CW Tau, * k Tau, HD  25175, V* V679 Tau, HD 282971, 2MASS J03445639+2425574"
47,20170203,"HD  37887, 2MASS J05413418-0835273, HOPS 298E"
48,20180406,"HD  99459, TWA 19B, CD-26  8623, HD  56341, CD-26  8623B, HD 106922, HD 109573B, HD  55856"
49,20190126,"V* GI Tau, BD+02  1729, V* DK Tau, EM* LkCa   15, V* IQ Tau, V* V827 Tau, V* V1023 Tau, V* V1069 Tau, V* GM Tau, V* AA Tau, V* CI Tau, V* V830 Tau, HD  25175, * k Tau, HR 1724, L 1551-51, V* DM Tau"
50,20160611,"*  24 Oph, TYC 6209-735-1, V* VV Sco, *  10 Boo, HD 192538, HD 153393, [GY92] 371, HD 120006, RAFGL 2591, MSX6C G076.3829-00.6210"
51,20201115,"HD  70953, 2MASS J01303534+2008393, 2MASS J03550477-1032415, HD 202941, 2MASSI J0342162-681732, 2MASS J01531463-6744181, HD 220337, 2MASSW J2206450-421721, HD  18107, 2MASS J02241739+2031513, 2MASS J21140802-2251358"
